case_id,area_name,case_category,evidence_summary,recommended_action,review_state,review_state_limit,automation_limit,created_at_utc
CASE-9699,Locality DEL_ROH,Industrial Spikes,PM2.5 sustained above 150 µg/m3 for 3 hours,Dispatch inspection team,In Review,24h,Manual Review Required,2026-09-18T05:30:56Z
CASE-6181,Locality DEL_ROH,Industrial Spikes,PM2.5 sustained above 150 µg/m3 for 3 hours,Dispatch inspection team,Action Taken,24h,Manual Review Required,2026-09-18T00:30:56Z
CASE-9269,Locality DEL_MEH,Industrial Spikes,PM2.5 sustained above 150 µg/m3 for 3 hours,Dispatch inspection team,Action Taken,24h,Manual Review Required,2026-09-16T19:30:56Z
CASE-5967,Locality DEL_NAJ,Waste Burning,PM2.5 sustained above 150 µg/m3 for 3 hours,Dispatch inspection team,Pending,24h,Manual Review Required,2026-09-17T22:30:56Z
CASE-5916,Locality DEL_NAJ,Vehicle Idling,PM2.5 sustained above 150 µg/m3 for 3 hours,Dispatch inspection team,Pending,24h,Manual Review Required,2026-09-17T17:30:56Z
CASE-3192,Locality DEL_NAJ,Industrial Spikes,PM2.5 sustained above 150 µg/m3 for 3 hours,Dispatch inspection team,Action Taken,24h,Manual Review Required,2026-09-17T12:30:56Z
CASE-8218,Locality DEL_SFE,Industrial Spikes,PM2.5 sustained above 150 µg/m3 for 3 hours,Dispatch inspection team,In Review,24h,Manual Review Required,2026-09-17T14:30:56Z
CASE-2469,Locality DEL_MEH,Construction Dust,PM2.5 sustained above 150 µg/m3 for 3 hours,Dispatch inspection team,In Review,24h,Manual Review Required,2026-09-17T13:30:56Z
CASE-7059,Locality DEL_ROH,Waste Burning,PM2.5 sustained above 150 µg/m3 for 3 hours,Dispatch inspection team,In Review,24h,Manual Review Required,2026-09-16T20:30:56Z
CASE-8543,Locality DEL_ROH,Vehicle Idling,PM2.5 sustained above 150 µg/m3 for 3 hours,Dispatch inspection team,Action Taken,24h,Manual Review Required,2026-09-17T22:30:56Z
