city_id,city_name,state,timestamp,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure
DEL,Delhi NCR,Delhi,2026-08-25T00:00,28.2,91,2.4,163,0.0,979.8
DEL,Delhi NCR,Delhi,2026-08-25T01:00,28.0,92,1.9,209,0.0,979.4
DEL,Delhi NCR,Delhi,2026-08-25T02:00,27.9,92,2.9,240,0.0,979.2
DEL,Delhi NCR,Delhi,2026-08-25T03:00,27.8,92,2.1,239,0.0,979.3
DEL,Delhi NCR,Delhi,2026-08-25T04:00,27.6,93,1.9,248,0.0,979.3
DEL,Delhi NCR,Delhi,2026-08-25T05:00,27.6,93,2.1,290,0.0,979.2
DEL,Delhi NCR,Delhi,2026-08-25T06:00,27.7,93,0.6,236,0.0,979.5
DEL,Delhi NCR,Delhi,2026-08-25T07:00,27.9,91,2.6,129,0.0,980.6
DEL,Delhi NCR,Delhi,2026-08-25T08:00,27.6,93,4.3,24,0.8,980.9
DEL,Delhi NCR,Delhi,2026-08-25T09:00,28.3,83,5.0,38,0.6,981.6
DEL,Delhi NCR,Delhi,2026-08-25T10:00,29.5,81,2.3,58,1.0,981.6
DEL,Delhi NCR,Delhi,2026-08-25T11:00,30.6,77,2.3,29,0.2,981.4
DEL,Delhi NCR,Delhi,2026-08-25T12:00,31.3,74,1.7,13,0.1,981.0
DEL,Delhi NCR,Delhi,2026-08-25T13:00,31.3,74,3.0,327,0.1,979.8
DEL,Delhi NCR,Delhi,2026-08-25T14:00,31.5,73,1.3,16,0.1,978.9
DEL,Delhi NCR,Delhi,2026-08-25T15:00,31.6,72,1.9,17,0.0,978.1
DEL,Delhi NCR,Delhi,2026-08-25T16:00,31.5,66,1.0,45,0.1,977.6
DEL,Delhi NCR,Delhi,2026-08-25T17:00,31.2,68,0.8,63,0.0,977.6
DEL,Delhi NCR,Delhi,2026-08-25T18:00,30.0,80,2.7,37,0.0,977.8
DEL,Delhi NCR,Delhi,2026-08-25T19:00,29.6,83,0.9,270,0.0,978.2
DEL,Delhi NCR,Delhi,2026-08-25T20:00,29.2,85,3.0,194,0.0,979.1
DEL,Delhi NCR,Delhi,2026-08-25T21:00,28.7,88,3.6,200,0.0,979.4
DEL,Delhi NCR,Delhi,2026-08-25T22:00,28.4,90,3.6,198,0.0,979.5
DEL,Delhi NCR,Delhi,2026-08-25T23:00,28.0,92,3.6,237,0.0,979.4
DEL,Delhi NCR,Delhi,2026-08-26T00:00,27.8,92,3.7,219,0.0,979.3
DEL,Delhi NCR,Delhi,2026-08-26T01:00,27.7,92,4.0,249,0.0,978.9
DEL,Delhi NCR,Delhi,2026-08-26T02:00,27.6,91,3.1,187,0.0,978.6
DEL,Delhi NCR,Delhi,2026-08-26T03:00,27.3,93,2.7,180,0.0,978.1
DEL,Delhi NCR,Delhi,2026-08-26T04:00,27.2,93,2.4,243,0.0,977.9
DEL,Delhi NCR,Delhi,2026-08-26T05:00,27.1,94,2.8,342,0.0,978.4
DEL,Delhi NCR,Delhi,2026-08-26T06:00,27.3,93,2.8,325,0.0,978.9
DEL,Delhi NCR,Delhi,2026-08-26T07:00,28.1,90,1.5,30,0.0,979.5
DEL,Delhi NCR,Delhi,2026-08-26T08:00,27.6,89,6.3,162,0.0,980.0
DEL,Delhi NCR,Delhi,2026-08-26T09:00,27.3,91,4.2,280,2.3,980.3
DEL,Delhi NCR,Delhi,2026-08-26T10:00,28.5,85,0.2,180,0.7,980.5
DEL,Delhi NCR,Delhi,2026-08-26T11:00,30.5,77,1.0,22,0.1,980.3
DEL,Delhi NCR,Delhi,2026-08-26T12:00,31.6,74,1.3,344,0.0,979.5
DEL,Delhi NCR,Delhi,2026-08-26T13:00,32.0,71,1.8,11,0.1,978.5
DEL,Delhi NCR,Delhi,2026-08-26T14:00,32.3,70,1.8,354,0.0,977.6
DEL,Delhi NCR,Delhi,2026-08-26T15:00,32.6,66,2.3,331,0.0,976.8
DEL,Delhi NCR,Delhi,2026-08-26T16:00,32.4,65,4.2,310,0.0,975.9
DEL,Delhi NCR,Delhi,2026-08-26T17:00,32.1,68,3.9,336,0.0,975.5
DEL,Delhi NCR,Delhi,2026-08-26T18:00,31.3,78,2.0,333,0.0,975.6
DEL,Delhi NCR,Delhi,2026-08-26T19:00,30.3,82,2.2,189,0.0,975.9
DEL,Delhi NCR,Delhi,2026-08-26T20:00,29.6,85,4.9,178,0.0,976.9
DEL,Delhi NCR,Delhi,2026-08-26T21:00,29.0,89,7.0,181,0.0,977.7
DEL,Delhi NCR,Delhi,2026-08-26T22:00,28.5,90,7.0,180,0.0,978.1
